"","id","timestamp","time","t_end","training.solves","solve.rate","total.solves","total.arrivals","n_observation_opportunities","eigenvector","exploration","n_days_net","log_num_trapped_per_day","any_beh_prop","age","sex","colony","prop_days_trapped","bold"
"1","D47CADF",2024-07-13 08:49:01,0.1,21.2833333333333,1008,1.04044943820225,463,445,2,0.359605422312641,9,5,0.133531392624523,0,"A","F","Paradise",1,1.40912113907405
"2","D47CB09",NA,22.2833333333333,21.2833333333333,0,0,0,3,0,0.543219114670283,5,5,-1.25276296849537,0,"A","F","Paradise",0.285714285714286,0.393162414212862
"3","D47CB24",NA,22.2833333333333,21.2833333333333,774,0,0,0,0,0.133735826304285,2,1,0,0.142857142857143,"A","F","Paradise",0.714285714285714,1.0781409948111
"4","D47CB2C",NA,22.2833333333333,21.2833333333333,0,0,0,2,0,0.40355232533618,1.5,4,-1.94591014905531,1,"A","F","Paradise",0.142857142857143,-1.74665989097837
"5","D47CB3E",NA,22.2833333333333,21.2833333333333,4,0,0,0,0,1.48075063174234e-19,1,1,-1.25276296849537,1,"A","F","Paradise",0.285714285714286,-1.23868052854778
"6","D47CB4B",NA,22.2833333333333,21.2833333333333,0,0,0,0,0,8.32724792883047e-18,2,1,-1.25276296849537,0.5,"A","M","Paradise",0.285714285714286,-0.422759057167458
"7","D47CBAD",NA,22.2833333333333,21.2833333333333,248,0,0,48,0,0.207825927137309,2,4,NA,NA,"A","M","Paradise",0,-2.14166849300908
"8","D47CBB0",2024-07-25 10:15:49,7.88027777777778,21.2833333333333,388,0.3,15,74,5,0.45787652317563,3.5,4,-0.847297860387204,0,"A","F","Paradise",0.285714285714286,0.690311292375001
"9","DF62BAE",2024-08-05 12:11:17,17.9713888888889,21.2833333333333,0,0.134328358208955,9,68,3,0.544262836538384,3,2,-0.336472236621213,0.6,"P","F","Paradise",0.571428571428571,0.0855688393764502
"10","DF62BB1",2024-07-25 10:18:23,7.92305555555556,21.2833333333333,273,0.308724832214765,47,157,3,0.66147068056695,2,5,-0.154150679827258,0.166666666666667,"A","M","Paradise",0.571428571428571,0.926316831012155
"11","DF62BB8",2024-07-25 09:49:23,7.43972222222222,21.2833333333333,0,0.157894736842105,9,57,3,0.151670980707472,2,3,-0.847297860387204,0,"P","M","Paradise",0.428571428571429,0.690311292375001
"12","DF62BD3",2024-07-25 09:03:43,7.09527777777778,21.2833333333333,0,0.6875,242,429,5,1,10,5,-1.94591014905531,1,"A","M","Paradise",0.142857142857143,-1.74665989097837
"13","DF62BDE",2024-07-25 10:18:11,7.91972222222222,21.2833333333333,0,1.03333333333333,124,129,5,0.626724525804108,5,4,-1.25276296849537,0.5,"A","M","Paradise",0.142857142857143,-0.422759057167458
"14","DF62BE1",NA,22.2833333333333,21.2833333333333,0,0,0,5,0,0.000664769840061934,2,1,-1.94591014905531,1,"P","F","Paradise",0.142857142857143,-1.74665989097837
"15","DF62BEA",NA,22.2833333333333,21.2833333333333,0,0,0,1,0,0,0,0,-2.484906649788,0,"A","F","Crow",0.0833333333333333,-0.509825550248441
"16","DF62BFD",2024-07-18 09:37:45,3.6125,21.2833333333333,202,0.57948717948718,228,417,10,0.953717898522792,8,5,-1.94591014905531,1,"A","M","Paradise",0.142857142857143,-1.74665989097837
"17","DF62C05",NA,22.2833333333333,21.2833333333333,8,0.0454545454545455,1,22,1,2.66721039429848e-17,2,3,-0.336472236621213,0,"P","F","Paradise",0.571428571428571,1.06467460503283
"18","DF62C09",NA,22.2833333333333,21.2833333333333,0,0,0,0,0,1.48075063174234e-19,1,1,-1.25276296849537,1,"A","M","Paradise",0.285714285714286,-1.23868052854778
