"","id","log_num_trapped_per_day","any_beh_prop","age","sex","colony","prop_days_trapped"
"1","BA1207C",-1.38629436111989,0,"A","M","Crow",0.25
"2","BF6492C",0.22314355131421,0.0666666666666667,"A","F","Crow",0.75
"3","D47CA66",0.405465108108164,0,"A","F","Crow",0.5
"4","D47CA8A",-0.182321556793955,0.1,"A","F","Crow",0.583333333333333
"5","D47CA95",-0.0870113769896298,0,"A","F","Crow",0.833333333333333
"6","D47CADF",0.133531392624523,0,"A","F","Paradise",1
"7","D47CAE8",-0.405465108108164,0,"A","F","Crow",0.416666666666667
"8","D47CAFA",-1.38629436111989,0,"A","M","Crow",0.25
"9","D47CB09",-1.25276296849537,0,"A","F","Paradise",0.285714285714286
"10","D47CB0F",-0.0870113769896298,0,"A","M","Crow",0.583333333333333
"11","D47CB13",-0.8754687373539,0.2,"A","F","Crow",0.416666666666667
"12","D47CB1C",-0.405465108108164,0.125,"A","M","Crow",0.583333333333333
"13","D47CB1D",-0.8754687373539,1,"A","M","Crow",0.416666666666667
"14","D47CB24",0,0.142857142857143,"A","F","Paradise",0.714285714285714
"15","D47CB29",-0.287682072451781,0.444444444444444,"A","F","Crow",0.666666666666667
"16","D47CB2C",-1.94591014905531,1,"A","F","Paradise",0.142857142857143
"17","D47CB2D",-0.693147180559945,0.166666666666667,"A","M","Crow",0.416666666666667
"18","D47CB3E",-1.25276296849537,1,"A","F","Paradise",0.285714285714286
"19","D47CB4B",-1.25276296849537,0.5,"A","M","Paradise",0.285714285714286
"20","D47CB55",-0.538996500732687,0.285714285714286,"A","F","Crow",0.416666666666667
"21","D47CB58",-1.38629436111989,0,"A","F","Crow",0.25
"22","D47CB61",-1.94591014905531,0,"A","F","Paradise",0.142857142857143
"23","D47CB6A",-2.484906649788,0,"A","F","Crow",0.0833333333333333
"24","D47CB8A",-0.693147180559945,0,"A","F","Crow",0.5
"25","D47CB8E",0.45953232937844,0.210526315789474,"A","F","Crow",0.833333333333333
"26","D47CB96",-2.484906649788,0,"A","F","Crow",0.0833333333333333
"27","D47CBAA",0,0.25,"A","F","Crow",0.666666666666667
"28","D47CBAE",-1.79175946922805,0.5,"A","M","Crow",0.166666666666667
"29","D47CBB0",-0.847297860387204,0,"A","F","Paradise",0.285714285714286
"30","D47CBB3",-0.287682072451781,0,"A","M","Crow",0.666666666666667
"31","D47CBC7",-1.38629436111989,0,"A","M","Crow",0.25
"32","D47CBCD",-2.484906649788,1,"A","F","Crow",0.0833333333333333
"33","D47CBD6",-2.484906649788,0,"A","F","Crow",0.0833333333333333
"34","D47CBDC",-1.25276296849537,0,"A","M","Paradise",0.285714285714286
"35","D47CBDD",-0.8754687373539,0.2,"A","F","Crow",0.416666666666667
"36","DF62BAB",-2.484906649788,1,"P","M","Crow",0.0833333333333333
"37","DF62BAC",0.348306694268216,0.117647058823529,"P","F","Crow",0.75
"38","DF62BAE",-0.336472236621213,0.6,"P","F","Paradise",0.571428571428571
"39","DF62BAF",-1.09861228866811,0.5,"P","M","Crow",0.333333333333333
"40","DF62BB1",-0.154150679827258,0.166666666666667,"A","M","Paradise",0.571428571428571
"41","DF62BB2",-0.182321556793955,0.2,"P","F","Crow",0.583333333333333
"42","DF62BB6",-1.94591014905531,1,"A","M","Paradise",0.142857142857143
"43","DF62BB7",0.606135803570315,0,"P","F","Crow",0.416666666666667
"44","DF62BB8",-0.847297860387204,0,"P","M","Paradise",0.428571428571429
"45","DF62BBA",-1.94591014905531,1,"P","F","Paradise",0.142857142857143
"46","DF62BBD",-0.538996500732687,0.142857142857143,"A","F","Crow",0.416666666666667
"47","DF62BBF",-0.182321556793955,0.1,"P","M","Crow",0.583333333333333
"48","DF62BC1",-1.38629436111989,0.333333333333333,"A","F","Crow",0.25
"49","DF62BC2",-1.79175946922805,0,"A","F","Crow",0.166666666666667
"50","DF62BC3",-1.79175946922805,0.5,"P","F","Crow",0.166666666666667
"51","DF62BC7",-0.847297860387204,0.666666666666667,"P","M","Paradise",0.428571428571429
"52","DF62BCA",-1.09861228866811,0.25,"P","M","Crow",0.333333333333333
"53","DF62BCB",-1.79175946922805,0,"P","M","Crow",0.166666666666667
"54","DF62BCD",-1.79175946922805,0,"P","M","Crow",0.166666666666667
"55","DF62BCE",-1.09861228866811,0.5,"P","F","Crow",0.25
"56","DF62BCF",-0.559615787935423,0.75,"P","F","Paradise",0.571428571428571
"57","DF62BD0",-0.693147180559945,0.5,"P","F","Crow",0.25
"58","DF62BD3",-1.94591014905531,1,"A","M","Paradise",0.142857142857143
"59","DF62BD4",-2.484906649788,1,"P","M","Crow",0.0833333333333333
"60","DF62BD5",-1.94591014905531,1,"P","F","Paradise",0.142857142857143
"61","DF62BDC",-0.693147180559945,0.333333333333333,"P","F","Crow",0.5
"62","DF62BDE",-1.25276296849537,0.5,"A","M","Paradise",0.142857142857143
"63","DF62BE1",-1.94591014905531,1,"P","F","Paradise",0.142857142857143
"64","DF62BE7",-1.79175946922805,1,"A","M","Crow",0.166666666666667
"65","DF62BE8",-0.538996500732687,0,"P","M","Crow",0.416666666666667
"66","DF62BEA",-2.484906649788,0,"A","F","Crow",0.0833333333333333
"67","DF62BED",-0.847297860387204,0.333333333333333,"P","M","Paradise",0.428571428571429
"68","DF62BF3",-1.94591014905531,0,"P","F","Paradise",0.142857142857143
"69","DF62BF4",-0.405465108108164,0.125,"A","M","Crow",0.583333333333333
"70","DF62BF6",-1.09861228866811,0.25,"P","F","Crow",0.166666666666667
"71","DF62BF7",-0.8754687373539,0,"P","M","Crow",0.25
"72","DF62BF8",-1.38629436111989,0.333333333333333,"P","F","Crow",0.25
"73","DF62BF9",-2.484906649788,0,"A","M","Crow",0.0833333333333333
"74","DF62BFA",-1.09861228866811,0.5,"P","M","Crow",0.333333333333333
"75","DF62BFD",-1.94591014905531,1,"A","M","Paradise",0.142857142857143
"76","DF62C05",-0.336472236621213,0,"P","F","Paradise",0.571428571428571
"77","DF62C07",-1.09861228866811,0.25,"A","M","Crow",0.333333333333333
"78","DF62C09",-1.25276296849537,1,"A","M","Paradise",0.285714285714286
